p	q	0	1	2	3	4	5	6	7	8	9	|	0	1	2	3	4	5	6	7	8	9	|	

3	4	0	1	2	3	3	5	6	7	8	9	|	1	1	1	1	2	1	1	1	1	1	|
4	9	0	1	2	3	3	5	6	7	8	3	|	1	1	1	1	2	1	1	1	1	2	|
8	0	8	1	2	3	3	5	6	7	8	3	|	2	1	1	1	2	1	1	1	1	2	|
2	3	8	1	2	2	3	5	6	7	8	3	|	2	1	1	2	2	1	1	1	1	2	|
5	6	8	1	2	2	3	5	5	7	8	3	|	2	1	1	2	2	1	2	1	1	2	|
2	9	8	1	2	2	3	5	5	7	8	3	|	2	1	1	2	2	1	2	1	1	2	|
5	9	8	1	5	2	3	5	5	7	8	3	|	2	1	2	2	2	1	2	1	1	2	|
7	3	8	1	5	2	3	7	5	7	8	3	|	2	1	2	2	2	2	2	1	1	2	|
4	8	8	1	5	2	3	7	5	7	7	3	|	2	1	2	2	2	2	2	1	2	2	|
5	6	8	1	5	2	3	7	5	7	7	3	|	2	1	2	2	2	2	2	1	2	2	|
0	2	8	1	5	2	3	7	5	7	7	3	|	2	1	2	2	2	2	2	1	2	2	|
6	1	8	7	5	2	3	7	5	7	7	3	|	2	2	2	2	2	2	2	1	2	2	|
5	8	8	7	5	2	3	7	5	7	7	3	|	2	2	2	2	2	2	2	1	2	2	|
